dcterms:identifier,dcterms:extent,dcterms:title,dcterms:spatial
2,10.3,McGuane Park,"2901 S Poplar Ave Chicago, IL 60608"
3,9.05,Armour Square Park,"3309 S Shields Ave Chicago, IL 60616"
4,11.31,Fuller Park,"331 W 45th St Chicago, IL 60609"
5,8.8,Cornell Square Park,"1809 W 50th St Chicago, IL 60609"
6,10.05,Russell Square Park,"3045 E 83rd St Chicago, IL 60617"
7,57.69,Sherman Park,"1307 W 52nd St Chicago, IL 60609"
8,57.04,Ogden Park,"6500 S Racine Ave Chicago, IL 60636"
9,28.94,Hamilton Park,"513 W 72nd St Chicago, IL 60621"
10,315.63,Marquette Park,"6734 S Kedzie Ave Chicago, IL 60629"
11,181.29,Calumet Park,"9801 S Avenue G Chicago, IL 60617"
12,20.27,Bessemer Park,"8930 S Muskegon Ave Chicago, IL 60617"
13,38.44,Palmer Park,"200 E 111th St Chicago, IL 60628"
14,8.91,Davis (Nathan) Square Park,"4430 S Marshfield Ave Chicago, IL 60609"
15,18.89,Grand Crossing Park,"7655 S Ingleside Ave Chicago, IL 60619"
16,18.04,Trumbull Park,"2400 E 105th St Chicago, IL 60617"
17,18.86,Mann Park,"3035 E 130th St Chicago, IL 60633"
18,18.7,Tuley Park,"501 E 90th Pl Chicago, IL 60619"
19,551.52,Jackson (Andrew) Park,"6401 S Stony Island Ave Chicago, IL 60637"
21,350.49,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637"
22,26.5,Gage Park,"2415 W 55th St Chicago, IL 60629"
23,72.09,McKinley Park,"2210 W Pershing Rd Chicago, IL 60609"
24,295.45,Grant Park,"331 E Randolph St Chicago, IL 60605"
26,25.2,Foster Park,"1400 W 84th St Chicago, IL 60620"
27,657.83,Burnham Park,"425 E Mcfetridge Dr Chicago, IL 60616"
29,27.71,Avalon Park,"1215 E 83rd St Chicago, IL 60619"
33,14.3,Rainey Park,"4350 W 79th St Chicago, IL 60652"
34,117.96,Northerly Island Park,"1400 S Lynn White Dr Chicago, IL 60605"
40,38.24,Gompers Park,"4222 W Foster Ave Chicago, IL 60630"
41,17.82227698,Field Park,"5100 N Ridgeway Ave Chicago, IL 60625"
42,1.55,Kiwanis Park,"3315 W Carmen Ave Chicago, IL 60625"
45,16.72,Ada Park,"11250 S Ada St Chicago, IL 60643"
46,1.65,Bohn Park,"1978 W 111th St Chicago, IL 60643"
47,5.97,Crescent Park,"2230 W 108th Pl Chicago, IL 60643"
48,18.48,Kennedy Park,"11320 S Western Ave Chicago, IL 60655"
49,3.68,Prospect Gardens Park,"10970 S Prospect Ave Chicago, IL 60643"
50,0.74,Almond Park,"2234 W 115th St Chicago, IL 60643"
57,1.61,Monument Park,"6700 N Avondale Ave Chicago, IL 60631"
59,19.47,Oriole Park,"5430 N Olcott Ave Chicago, IL 60656"
60,9.75,Olympia Park,"6566 N Avondale Ave Chicago, IL 60631"
61,9.42,Brooks (Oscar) Park,"7046 N Harlem Ave Chicago, IL 60631"
62,0.83,Edison Park,"6755 N Northwest Hwy Chicago, IL 60631"
65,12.33,Fernwood Park,"10436 S Wallace St Chicago, IL 60628"
66,6.47,Euclid Park,"9800 S Parnell Ave Chicago, IL 60628"
70,0.42,Forest Glen Park,"5073 W Berwyn Ave Chicago, IL 60630"
75,7.2,Hollywood Park,"3312 W Thorndale Ave Chicago, IL 60659"
80,4.35,Athletic Field Park,"3546 W Addison St Chicago, IL 60618"
81,1.31,Avondale Park,"3516 W School St Chicago, IL 60618"
82,2.8,Jensen Park,"4600 N Lawndale Ave Chicago, IL 60625"
83,8.82,Independence Park,"3945 N Springfield Ave Chicago, IL 60618"
84,12.08,Kilbourn Park,"3501 N Kilbourn Ave Chicago, IL 60641"
85,1.03,Kolmar Park,"4143 N Kolmar Ave Chicago, IL 60641"
86,3,Mayfair Park,"4550 W Sunnyside Ave Chicago, IL 60630"
90,0.33,North Mayfair Park,"4537 W Carmen Ave Chicago, IL 60630"
91,3.07,Rosedale Park,"6312 W Rosedale Ave Chicago, IL 60646"
