schema:amenityFeature,schema:description,dcterms:subject,schema:name,schema:identifier,schema:latitude,schema:longitude,schema:alternateName,schema:address,schema:containedInPlace,map_zoom,geometry,schema:geoWithin,dcterms:isPartOf
,,,Abbott Park - Playground,Chicago_Park_Facility_9,41.72095969,-87.62135133,,"49 E 95th St Chicago, IL 60628",2063,14,"c(448316.840858591, 4618981.96038923)",7350;7266,""
,,,Ada Park - Playground,Chicago_Park_Facility_27,41.68905006,-87.6551974,,"11250 S Ada St Chicago, IL 60643",1938,14,"c(445474.60294761, 4615460.09881531)",7377;7227,""
,,3192,Adams (George & Adele) Park - Playground,Chicago_Park_Facility_35,41.91688966,-87.65509194,,"1919 N Seminary Ave Chicago, IL 60614",2327,14,"c(445676.175436757, 4640756.11837221)",7371;7239,""
,,,Aiello Park - Playground Park,Chicago_Park_Facility_37,41.91915087,-87.77635632,,"2133 N Mcvicker Ave Chicago, IL 60639",2496,14,"c(435622.477186083, 4641091.09969281)",7322;7297,""
,,,Algonquin Park - Playground Park,Chicago_Park_Facility_38,41.93520242,-87.69491847,,"2941 N Washtenaw Ave Chicago, IL 60618",2439,14,"c(442390.001557611, 4642815.34744815)",7325;7216,""
,,,Altgeld Park - Playground,Chicago_Park_Facility_46,41.87469549,-87.6933148,,"515 S Washtenaw Ave Chicago, IL 60612",2018,14,"c(442468.652413975, 4636096.31350323)",7331;7209,""
,,,Amundsen Park - Playground,Chicago_Park_Facility_54,41.91341153,-87.77954736,,"6200 W Bloomingdale Ave Chicago, IL 60639",1984,14,"c(435352.073657195, 4640456.27067809)",7329;7294,""
,,,Anderson (Louis) Park - Playground,Chicago_Park_Facility_60,41.82591274,-87.6206402,,"3748 S Prairie Ave Chicago, IL 60653",2328,14,"c(448460.082458763, 4630633.96751554)",7304;7235,""
,,,Andersonville Park - Playground Park,Chicago_Park_Facility_62,41.97714904,-87.6692822,,"5233 N Ashland Ave Chicago, IL 60640",2381,14,"c(444551.678590663, 4647455.72171824)",7379;7246,""
,,,Archer Park - Playground,Chicago_Park_Facility_73,41.80360873,-87.73423124,,"4901 S Kilbourn Ave Chicago, IL 60632",2056,14,"c(439005.912261591, 4628232.01621093)",7359;7282,""
,,,Armour Square Park - Playground,Chicago_Park_Facility_86,41.83430368,-87.6339944,,"3309 S Shields Ave Chicago, IL 60616",1909,14,"c(447357.977905908, 4631573.68014365)",7338;7212,""
,,,Armstrong Park - Playground,Chicago_Park_Facility_98,41.8137758,-87.60971038,,"4433 S St Lawrence Chicago, IL 60653",2230,14,"c(449358.171207158, 4629279.95169907)",7307;7204,""
,,3070,Ashe Beach Park - Playground,Chicago_Park_Facility_101,41.76257421,-87.5578128,,"2701 E 74th St Chicago, IL 60649",2209,14,"c(453631.858119253, 4623565.99556474)",7342;7263,""
,,,Ashmore Park - Playground Park,Chicago_Park_Facility_104,41.96866399,-87.74818672,,"4807 W Gunnison St Chicago, IL 60630",2185,14,"c(438006.374929884, 4646567.71821522)",7315;7254,""
,,,Aspen Park - Playground Park,Chicago_Park_Facility_105,41.81712721,-87.62418441,,"4237 S Wabash Ave Chicago, IL 60653",2104,14,"c(448158.672733105, 4629660.67633651)",7307;7204,""
,,,Aster Park - Playground Park,Chicago_Park_Facility_106,41.96661707,-87.65585057,,"4639 N Kenmore Ave Chicago, IL 60640",2122,14,"c(445655.508075763, 4646277.75960994)",7334;7260,""
,,,Athletic Field Park - Playground,Chicago_Park_Facility_111,41.94694919,-87.71669435,,"3546 W Addison St Chicago, IL 60618",1953,14,"c(440595.636025514, 4644134.43801506)",7319;7257,""
,,,Augusta Park - Playground,Chicago_Park_Facility_114,41.89855905,-87.73762549,,"4431 W Augusta Blvd Chicago, IL 60651",2329,14,"c(438814.499046791, 4638776.47898999)",7327;7208,""
,,,Austin Park - Playground,Chicago_Park_Facility_115,41.8877037,-87.77243429,,"5951 W Lake St Chicago, IL 60644",2448,14,"c(435916.26491175, 4637596.64364337)",7329;7298,""
,,,Austin Foster Park - Playground,Chicago_Park_Facility_120,41.97586537,-87.77896928,,"6020 W Foster Ave Chicago, IL 60630",2084,14,"c(435463.032135057, 4647390.01580617)",7314;7253,""
,,,Austin Town Hall Park - Playground,Chicago_Park_Facility_125,41.88844406,-87.76550919,,"5610 W Lake St Chicago, IL 60644",2019,14,"c(436491.531511065, 4637673.69552415)",7329;7298,""
,,,Avalon Park - Playground,Chicago_Park_Facility_138,41.74300715,-87.59485913,,"1215 E 83rd St Chicago, IL 60619",1932,14,"c(450537.352640549, 4621414.20007359)",7344;7213,""
3045,,,Avondale Park - Playground,Chicago_Park_Facility_152,41.94152585,-87.71545552,,"3516 W School St Chicago, IL 60618",1954,14,"c(440693.292982569, 4643531.43369575)",7325;7216,""
,,,Back of the Yards Park - Playground,Chicago_Park_Facility_156,41.80440732,-87.65836043,,"4920 S Throop St Chicago, IL 60609",2368,14,"c(445309.367718049, 4628269.62087173)",7362;7222,""
,,,Baraga Park - Playground Park,Chicago_Park_Facility_159,41.84714641,-87.68115406,,"2440 S Leavitt St Chicago, IL 60608",2094,14,"c(443453.490423936, 4633029.54132186)",7336;7280,""
,,,Barnard Park - Playground,Chicago_Park_Facility_160,41.70345311,-87.66985319,,"10441 S Longwood Dr Chicago, IL 60643",2449,14,"c(444267.380777323, 4617068.56118254)",7374;7275,""
,,,Barrett Park - Playground,Chicago_Park_Facility_162,41.85234408,-87.67650734,,"2022 W Cermak Rd Chicago, IL 60608",2330,14,"c(443843.78955294, 4633603.57278617)",7336;7280,""
,,3192;3067;3060;3064,Bartelme Park - Playground,Chicago_Park_Facility_163,41.8798625,-87.64989673,,"115 S. Sangamon St Chicago, IL 60602",2276,14,"c(446075.85087701, 4636641.80137267)",7332;7244,""
,,,Bauler Park - Playground,Chicago_Park_Facility_165,41.91624163,-87.64155497,,"517 W Wisconsin St Chicago, IL 60614",2137,14,"c(446798.202361747, 4640675.68277216)",7371;7296,""
,,,Beehive Park - Playground Park,Chicago_Park_Facility_166,41.7825556,-87.5916856,,"6156 S Dorchester Ave Chicago, IL 60637",2110,14,"c(450831.435597981, 4625803.24478586)",7312;7247,""
,,,Beilfuss Park - Playground,Chicago_Park_Facility_168,41.91242491,-87.72354099,,"1725 N Springfield Ave Chicago, IL 60647",2313,14,"c(439995.790488701, 4640306.02851456)",7327;7208,""
,,,Bell Park - Playground,Chicago_Park_Facility_172,41.93510806,-87.79641177,,"3020 N Oak Park Ave Chicago, IL 60634",1976,14,"c(433975.870836717, 4642878.05458411)",7321;7295,""
,,3070;3063;3064;3067;3062;3061,Berger Park - Playground,Chicago_Park_Facility_179,41.99552007,-87.65495185,,"6227 N Sheridan Rd Chicago, IL 60660",2477,14,"c(445754.51525588, 4649486.26879031)",7379;7237,""
,,,Bessemer Park - Playground,Chicago_Park_Facility_192,41.73235613,-87.556161,,"8930 S Muskegon Ave Chicago, IL 60617",1918,14,"c(453747.479668005, 4620210.1575192)",7345;7265,""
,,,Beverly Park - Playground,Chicago_Park_Facility_206,41.70960134,-87.68502994,,"2460 W 102nd St Chicago, IL 60655",2058,14,"c(443010.079366902, 4617761.09584633)",7374;7275,""
,,,Birch Park - Playground Park,Chicago_Park_Facility_215,41.8128336,-87.6152469,,"427 E 45th St Chicago, IL 60653",2105,14,"c(448897.563425955, 4629178.62058056)",7307;7204,""
,,,Bixler Park - Playground Park,Chicago_Park_Facility_216,41.79191236,-87.59291698,,"5641 S Kenwood Ave Chicago, IL 60637",2384,14,"c(450736.272433928, 4626842.78769672)",7311;7278,""
,,,Blackhawk Park - Playground,Chicago_Park_Facility_225,41.92316896,-87.75178757,,"2318 N Lavergne Ave Chicago, IL 60639",1977,14,"c(437663.707105843, 4641519.06961386)",7322;7297,""
,,,Blackwelder Park - Playground,Chicago_Park_Facility_235,41.68443019,-87.67109004,,"1800 W 115th St Chicago, IL 60643",2143,14,"c(444148.017992634, 4614957.36530503)",7377;7227,""
,,,Bogan Park - Playground,Chicago_Park_Facility_244,41.74558863,-87.71968329,,"3939 W 79th St Chicago, IL 60652",2068,14,"c(440160.539993232, 4621780.08492988)",7372;7225,""
,,,Boler Park - Playground,Chicago_Park_Facility_249,41.87000627,-87.71770212,,"3601 W Arthington St Chicago, IL 60624",2233,14,"c(440440.624851404, 4635592.3158359)",7331;7209,""
,,,Bosley Park - Playground,Chicago_Park_Facility_254,41.83862347,-87.65341768,,"3044 S Bonfield St Chicago, IL 60608",2331,14,"c(445748.858721189, 4632065.37683983)",7361;7287,""
,,,Boswell Park - Playground Park,Chicago_Park_Facility_256,41.77374707,-87.59879935,,"6646 S University Ave Chicago, IL 60637",2121,14,"c(450233.476828014, 4624829.36780638)",7312;7247,""
,,,Bradley Park - Playground,Chicago_Park_Facility_261,41.71824602,-87.56431292,,"9729 S Yates Ave Chicago, IL 60617",2314,14,"c(453059.262213904, 4618648.00726399)",7353;7268,""
,,,Brainerd Park - Playground,Chicago_Park_Facility_271,41.72771377,-87.65523656,,"1246 W 92nd St Chicago, IL 60620",2004,14,"c(445504.007223154, 4619752.72506454)",7375;7276,""
,,,Brands Park - Playground,Chicago_Park_Facility_283,41.94095804,-87.70018998,,"3285 N Elston Ave Chicago, IL 60618",2009,14,"c(441958.201006833, 4643457.94146027)",7325;7216,""
,,,Brighton Park - Playground,Chicago_Park_Facility_288,41.82922854,-87.69818845,,"3501 S Richmond St Chicago, IL 60632",2184,14,"c(442023.189420781, 4631051.5370951)",7360;7283,""
,,,Bromann Park - Playground Park,Chicago_Park_Facility_292,41.98011856,-87.66037973,,"5400 N Broadway Chicago, IL 60640",2193,14,"c(445291.770850329, 4647779.70099245)",7379;7237,""
,,,Broncho Billy Park - Playground,Chicago_Park_Facility_294,41.96289762,-87.66061892,,"4437 N Magnolia Ave Chicago, IL 60640",2227,14,"c(445257.211499462, 4645867.82840734)",7334;7260,""
,,,Brooks (Gwendolyn) Park - Playground,Chicago_Park_Facility_296,41.81207504,-87.59996872,,"4542 S Greenwood Ave Chicago, IL 60653",2134,14,"c(450165.987109048, 4629085.42828482)",7308;7251,""
3091;3229;3127;3111;3094;3159;3160;3105;3104;3107;3232,Small playground in Oscar Brooks Park with standard playground equipment.,3066;3064;3062,Brooks (Oscar) Park - Playground,Chicago_Park_Facility_304,42.00958488,-87.80733303,,"7046 N Harlem Ave Chicago, IL 60631",1947,14,"c(433148.398587426, 4651155.64753897)",7380;7277,""
,,,Brown Memorial Park - Playground,Chicago_Park_Facility_311,41.74001614,-87.60889005,,"644 E 86th St Chicago, IL 60619",2088,14,"c(449368.324413406, 4621090.28445842)",7343;7264,""
3089;3127;3094;3075;3084,,,Brynford Park - Playground Park,Chicago_Park_Facility_315,41.98399954,-87.72886855,,"5640 N Pulaski Rd Chicago, IL 60646",2428,14,"c(439621.546507076, 4648256.61635934)",7316;7255,""
,,,Buena Circle Park - Playground Park,Chicago_Park_Facility_318,41.9584065,-87.65662236,,"1049  W Buena Chicago, IL 60613",2385,14,"c(445584.570606831, 4645366.63876913)",7334;7260,""
,,,Burnham Park - Playground 1,Chicago_Park_Facility_327,41.86464384,-87.61473674,,"425 E Mcfetridge Dr Chicago, IL 60616",1931,14,"c(448981.106950194, 4634930.6239421)",7337;7236,""
,,3070;3063;3067;3192,Edwin C. Berry Playground,Chicago_Park_Facility_328,41.83767173,-87.60654778,Burnham Park - Playground 2,"425 E Mcfetridge Dr Chicago, IL 60616",1931,14,"c(449639.584575552, 4631931.16645189)",7304;7235,""
,,3070,Burnham Park - Playground 3,Chicago_Park_Facility_329,41.81699163,-87.59436825,,"425 E Mcfetridge Dr Chicago, IL 60616",1931,14,"c(450634.945308413, 4629628.06477578)",7305;7242,""
