schema:longitude,schema:latitude,schema:identifier,schema:addressLocality,map_zoom
-87.6213513289056,41.72095968735346,Chicago_Park_Facility_9,3508;3603,11
-87.65519740258068,41.689050058488874,Chicago_Park_Facility_27,3535;3564,11
-87.65509193686333,41.9168896589441,Chicago_Park_Facility_35,3529;3576,11
-87.77635632136997,41.91915087341189,Chicago_Park_Facility_37,3480;3634,11
-87.69491846558707,41.93520242499389,Chicago_Park_Facility_38,3483;3553,11
-87.69331479977535,41.874695485607106,Chicago_Park_Facility_46,3489;3546,11
-87.7795473584138,41.91341152538692,Chicago_Park_Facility_54,3487;3631,11
-87.62064020152745,41.82591273944526,Chicago_Park_Facility_60,3462;3572,11
-87.66928219895237,41.97714903975003,Chicago_Park_Facility_62,3537;3583,11
-87.73423123561952,41.80360872979382,Chicago_Park_Facility_73,3517;3619,11
-87.63399439921082,41.83430367585213,Chicago_Park_Facility_86,3496;3549,11
-87.60971037866166,41.81377579878813,Chicago_Park_Facility_98,3465;3541,11
-87.55781280453436,41.762574208930275,Chicago_Park_Facility_101,3500;3600,11
-87.74818672442976,41.96866399458474,Chicago_Park_Facility_104,3473;3591,11
-87.62418441223066,41.81712721012,Chicago_Park_Facility_105,3465;3541,11
-87.6558505712144,41.96661706817936,Chicago_Park_Facility_106,3492;3597,11
-87.71669434787789,41.946949193789465,Chicago_Park_Facility_111,3477;3594,11
-87.73762548832646,41.89855905486072,Chicago_Park_Facility_114,3485;3545,11
-87.77243428887259,41.887703703208004,Chicago_Park_Facility_115,3487;3635,11
-87.7789692819086,41.97586537105549,Chicago_Park_Facility_120,3472;3590,11
-87.76550918818896,41.88844405716301,Chicago_Park_Facility_125,3487;3635,11
-87.59485912973466,41.7430071459661,Chicago_Park_Facility_138,3502;3550,11
-87.71545552296591,41.94152584661252,Chicago_Park_Facility_152,3483;3553,11
-87.65836042500631,41.80440731876223,Chicago_Park_Facility_156,3520;3559,11
-87.68115405865106,41.84714641404515,Chicago_Park_Facility_159,3494;3617,11
-87.66985319296113,41.703453114891595,Chicago_Park_Facility_160,3532;3612,11
-87.67650734388515,41.85234408085846,Chicago_Park_Facility_162,3494;3617,11
-87.6498967254965,41.879862500237586,Chicago_Park_Facility_163,3490;3581,11
-87.64155497141718,41.916241630779666,Chicago_Park_Facility_165,3529;3633,11
-87.59168559599495,41.78255560469834,Chicago_Park_Facility_166,3470;3584,11
-87.72354098888209,41.912424907691566,Chicago_Park_Facility_168,3485;3545,11
-87.79641177401126,41.93510806084886,Chicago_Park_Facility_172,3479;3632,11
-87.55616100071903,41.73235612855701,Chicago_Park_Facility_192,3503;3602,11
-87.68502994387259,41.70960134330838,Chicago_Park_Facility_206,3532;3612,11
-87.6152468993795,41.81283360010693,Chicago_Park_Facility_215,3465;3541,11
-87.59291698250061,41.79191236092487,Chicago_Park_Facility_216,3469;3615,11
-87.75178757311681,41.923168956634306,Chicago_Park_Facility_225,3480;3634,11
-87.67109004335045,41.68443019223897,Chicago_Park_Facility_235,3535;3564,11
-87.71968328753205,41.745588633995325,Chicago_Park_Facility_244,3530;3562,11
-87.71770211531354,41.8700062722125,Chicago_Park_Facility_249,3489;3546,11
-87.65341768190588,41.838623472600084,Chicago_Park_Facility_254,3519;3624,11
-87.59879935449628,41.773747066966436,Chicago_Park_Facility_256,3470;3584,11
-87.56431291697673,41.71824601803285,Chicago_Park_Facility_261,3511;3605,11
-87.65523656398388,41.72771377034492,Chicago_Park_Facility_271,3533;3613,11
-87.70018998434615,41.94095804299821,Chicago_Park_Facility_283,3483;3553,11
-87.69818844595399,41.82922854382837,Chicago_Park_Facility_288,3518;3620,11
-87.660379734871,41.98011856409288,Chicago_Park_Facility_292,3537;3574,11
-87.66061892387992,41.96289762403686,Chicago_Park_Facility_294,3492;3597,11
-87.59996872263955,41.812075041221775,Chicago_Park_Facility_296,3466;3588,11
-87.80733302726635,42.009584878676336,Chicago_Park_Facility_304,3538;3614,11
-87.6088900479562,41.74001613865705,Chicago_Park_Facility_311,3501;3601,11
-87.72886854698996,41.98399953550289,Chicago_Park_Facility_315,3474;3592,11
-87.65662236329518,41.958406499441274,Chicago_Park_Facility_318,3492;3597,11
-87.61473674461963,41.86464384427293,Chicago_Park_Facility_327,3495;3573,11
-87.60654778307405,41.83767172587917,Chicago_Park_Facility_328,3462;3572,11
-87.5943682478198,41.816991625423924,Chicago_Park_Facility_329,3463;3579,11
-87.58950019169748,41.80982259705209,Chicago_Park_Facility_330,3466;3588,11
-87.58027899602317,41.796846909599736,Chicago_Park_Facility_331,3469;3615,11
-87.59766450815766,41.72480144968483,Chicago_Park_Facility_337,3504;3551,11
-87.65442542307936,41.971883217960446,Chicago_Park_Facility_339,3492;3597,11
-87.59712202574089,41.79860996087562,Chicago_Park_Facility_340,3469;3615,11
-87.69772065394037,41.95030660163343,Chicago_Park_Facility_346,3477;3594,11
-87.53005028910864,41.71578135745325,Chicago_Park_Facility_371,3512;3556,11
-87.66095357039384,41.97490373122701,Chicago_Park_Facility_392,3492;3597,11
-87.6505429889059,41.781677862427,Chicago_Park_Facility_393,3527;3560,11
