schema:longitude,schema:latitude,schema:address,schema:name,schema:identifier,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17
-87.6213513289056,41.72095968735346,"49 E 95th St Chicago, IL 60628",Abbott Park - Playground,Chicago_Park_Facility_9,1870,Ward 9,2063,Abbott Park
-87.65519740258068,41.689050058488874,"11250 S Ada St Chicago, IL 60643",Ada Park - Playground,Chicago_Park_Facility_27,1859,Ward 34,1938,Ada Park
-87.65509193686333,41.9168896589441,"1919 N Seminary Ave Chicago, IL 60614",Adams (George & Adele) Park - Playground,Chicago_Park_Facility_35,1898,Ward 43,2327,Adams (George & Adele) Park
-87.77635632136997,41.91915087341189,"2133 N Mcvicker Ave Chicago, IL 60639",Aiello Park - Playground Park,Chicago_Park_Facility_37,1892,Ward 36,2496,Aiello Park
-87.69491846558707,41.93520242499389,"2941 N Washtenaw Ave Chicago, IL 60618",Algonquin Park - Playground Park,Chicago_Park_Facility_38,1858,Ward 33,2439,Algonquin Park
-87.69331479977535,41.874695485607106,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Playground,Chicago_Park_Facility_46,1896,Ward 28,2018,Altgeld Park
-87.7795473584138,41.91341152538692,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Playground,Chicago_Park_Facility_54,1897,Ward 29,1984,Amundsen Park
-87.62064020152745,41.82591273944526,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Playground,Chicago_Park_Facility_60,1861,Ward 3,2328,Anderson (Louis) Park
-87.66928219895237,41.97714903975003,"5233 N Ashland Ave Chicago, IL 60640",Andersonville Park - Playground Park,Chicago_Park_Facility_62,1906,Ward 40,2381,Andersonville Park
-87.73423123561952,41.80360872979382,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Playground,Chicago_Park_Facility_73,1890,Ward 14,2056,Archer Park
-87.63399439921082,41.83430367585213,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Playground,Chicago_Park_Facility_86,1881,Ward 11,1909,Armour Square Park
-87.60971037866166,41.81377579878813,"4433 S St Lawrence Chicago, IL 60653",Armstrong Park - Playground,Chicago_Park_Facility_98,1861,Ward 3,2230,Armstrong Park
-87.55781280453436,41.762574208930275,"2701 E 74th St Chicago, IL 60649",Ashe Beach Park - Playground,Chicago_Park_Facility_101,1883,Ward 7,2209,Ashe Beach Park
-87.74818672442976,41.96866399458474,"4807 W Gunnison St Chicago, IL 60630",Ashmore Park - Playground Park,Chicago_Park_Facility_104,1886,Ward 45,2185,Ashmore Park
-87.62418441223066,41.81712721012,"4237 S Wabash Ave Chicago, IL 60653",Aspen Park - Playground Park,Chicago_Park_Facility_105,1861,Ward 3,2104,Aspen Park
-87.6558505712144,41.96661706817936,"4639 N Kenmore Ave Chicago, IL 60640",Aster Park - Playground Park,Chicago_Park_Facility_106,1860,Ward 46,2122,Aster Park
-87.71669434787789,41.946949193789465,"3546 W Addison St Chicago, IL 60618",Athletic Field Park - Playground,Chicago_Park_Facility_111,1903,Ward 35,1953,Athletic Field Park
-87.73762548832646,41.89855905486072,"4431 W Augusta Blvd Chicago, IL 60651",Augusta Park - Playground,Chicago_Park_Facility_114,1900,Ward 37,2329,Augusta Park
-87.77243428887259,41.887703703208004,"5951 W Lake St Chicago, IL 60644",Austin Park - Playground,Chicago_Park_Facility_115,1897,Ward 29,2448,Austin Park
-87.7789692819086,41.97586537105549,"6020 W Foster Ave Chicago, IL 60630",Austin Foster Park - Playground,Chicago_Park_Facility_120,1886,Ward 45,2084,Austin Foster Park
-87.76550918818896,41.88844405716301,"5610 W Lake St Chicago, IL 60644",Austin Town Hall Park - Playground,Chicago_Park_Facility_125,1897,Ward 29,2019,Austin Town Hall Park
-87.59485912973466,41.7430071459661,"1215 E 83rd St Chicago, IL 60619",Avalon Park - Playground,Chicago_Park_Facility_138,1907,Ward 8,1932,Avalon Park
-87.71545552296591,41.94152584661252,"3516 W School St Chicago, IL 60618",Avondale Park - Playground,Chicago_Park_Facility_152,1903,Ward 35,1954,Avondale Park
-87.65836042500631,41.80440731876223,"4920 S Throop St Chicago, IL 60609",Back of the Yards Park - Playground,Chicago_Park_Facility_156,1884,Ward 20,2368,Back of the Yards Park
-87.68115405865106,41.84714641404515,"2440 S Leavitt St Chicago, IL 60608",Baraga Park - Playground Park,Chicago_Park_Facility_159,1873,Ward 25,2094,Baraga Park
-87.66985319296113,41.703453114891595,"10441 S Longwood Dr Chicago, IL 60643",Barnard Park - Playground,Chicago_Park_Facility_160,1885,Ward 19,2449,Barnard Park
-87.67650734388515,41.85234408085846,"2022 W Cermak Rd Chicago, IL 60608",Barrett Park - Playground,Chicago_Park_Facility_162,1873,Ward 25,2330,Barrett Park
-87.6498967254965,41.879862500237586,"115 S. Sangamon St Chicago, IL 60602",Bartelme Park - Playground,Chicago_Park_Facility_163,1873,Ward 25,2276,Bartelme Park
-87.64155497141718,41.916241630779666,"517 W Wisconsin St Chicago, IL 60614",Bauler Park - Playground,Chicago_Park_Facility_165,1898,Ward 43,2137,Bauler Park
-87.59168559599495,41.78255560469834,"6156 S Dorchester Ave Chicago, IL 60637",Beehive Park - Playground Park,Chicago_Park_Facility_166,1884,Ward 20,2110,Beehive Park
-87.72354098888209,41.912424907691566,"1725 N Springfield Ave Chicago, IL 60647",Beilfuss Park - Playground,Chicago_Park_Facility_168,1867,Ward 26,2313,Beilfuss Park
-87.79641177401126,41.93510806084886,"3020 N Oak Park Ave Chicago, IL 60634",Bell Park - Playground,Chicago_Park_Facility_172,1892,Ward 36,1976,Bell Park
-87.65495184760344,41.99552006980866,"6227 N Sheridan Rd Chicago, IL 60660",Berger Park - Playground,Chicago_Park_Facility_179,1872,Ward 48,2477,Berger Park
