schema:longitude,schema:latitude,schema:address,schema:name,schema:addressLocality,schema:name...18,schema:containedInPlace,schema:name...17,schema:identifier
-87.62230559641255,41.72089146364475,"49 E 95th St Chicago, IL 60628",Abbott Park - Pool (Outdoor),1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_8
-87.62187172707627,41.72148857957661,"49 E 95th St Chicago, IL 60628",Abbott Park - Spray Feature 1,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_11
-87.62249252280019,41.7214789431201,"49 E 95th St Chicago, IL 60628",Abbott Park - Spray Feature 2,1870,Ward 9,2063,Abbott Park,Chicago_Park_Facility_12
-87.65607419100785,41.6885766854841,"11250 S Ada St Chicago, IL 60643",Ada Park - Pool (Outdoor),1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_26
-87.65583923916014,41.688724523570606,"11250 S Ada St Chicago, IL 60643",Ada Park - Spray Feature,1859,Ward 34,1938,Ada Park,Chicago_Park_Facility_28
-87.65513282636383,41.91712285768598,"1919 N Seminary Ave Chicago, IL 60614",Adams (George & Adele) Park - Water Playground,1898,Ward 43,2327,Adams (George & Adele) Park,Chicago_Park_Facility_36
-87.6637302298824,41.86309554162578,"1301 W 14th St Chicago, IL 60608",Addams (Jane) Park - Spray Feature,1896,Ward 28,2066,Addams (Jane) Park,Chicago_Park_Facility_3212
-87.6933679271584,41.874022772911566,"515 S Washtenaw Ave Chicago, IL 60612",Altgeld Park - Pool (Outdoor),1896,Ward 28,2018,Altgeld Park,Chicago_Park_Facility_45
-87.7794481549066,41.91329658423375,"6200 W Bloomingdale Ave Chicago, IL 60639",Amundsen Park - Spray Feature,1897,Ward 29,1984,Amundsen Park,Chicago_Park_Facility_55
-87.6206492009532,41.82576521104588,"3748 S Prairie Ave Chicago, IL 60653",Anderson (Louis) Park - Spray Feature,1861,Ward 3,2328,Anderson (Louis) Park,Chicago_Park_Facility_61
-87.73508677412029,41.8038486707639,"4901 S Kilbourn Ave Chicago, IL 60632",Archer Park - Water Playground,1890,Ward 14,2056,Archer Park,Chicago_Park_Facility_78
-87.63480499982082,41.83423414251416,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Pool (Outdoor),1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_85
-87.63352353302145,41.83426357497113,"3309 S Shields Ave Chicago, IL 60616",Armour Square Park - Spray Feature,1881,Ward 11,1909,Armour Square Park,Chicago_Park_Facility_88
-87.55735249799433,41.76263482092485,"2701 E 74th St Chicago, IL 60649",Ashe Beach Park - Beach,1883,Ward 7,2209,Ashe Beach Park,Chicago_Park_Facility_100
-87.65562046062657,41.96664446017253,"4639 N Kenmore Ave Chicago, IL 60640",Aster Park - Spray Feature,1860,Ward 46,2122,Aster Park,Chicago_Park_Facility_17341
-87.71707905392562,41.94700247380021,"3546 W Addison St Chicago, IL 60618",Athletic Field Park - Spray Feature,1903,Ward 35,1953,Athletic Field Park,Chicago_Park_Facility_3141
-87.77438197904699,41.88771319968113,"5951 W Lake St Chicago, IL 60644",Austin Park - Water Playground,1897,Ward 29,2448,Austin Park,Chicago_Park_Facility_117
-87.76609858991776,41.88827527301937,"5610 W Lake St Chicago, IL 60644",Austin Town Hall Park - Pool (Indoor),1897,Ward 29,2019,Austin Town Hall Park,Chicago_Park_Facility_124
-87.59418045041879,41.74280621339425,"1215 E 83rd St Chicago, IL 60619",Avalon Park - Pool (Outdoor),1907,Ward 8,1932,Avalon Park,Chicago_Park_Facility_137
-87.59424803033644,41.74309884401369,"1215 E 83rd St Chicago, IL 60619",Avalon Park - Spray Feature,1907,Ward 8,1932,Avalon Park,Chicago_Park_Facility_139
-87.71540700695896,41.941713430889685,"3516 W School St Chicago, IL 60618",Avondale Park - Pool (Outdoor),1903,Ward 35,1954,Avondale Park,Chicago_Park_Facility_151
-87.71502429342664,41.94140541771714,"3516 W School St Chicago, IL 60618",Avondale Park - Spray Feature,1903,Ward 35,1954,Avondale Park,Chicago_Park_Facility_153
-87.65797630159014,41.8044875765971,"4920 S Throop St Chicago, IL 60609",Back of the Yards Park - Spray Feature,1884,Ward 20,2368,Back of the Yards Park,Chicago_Park_Facility_157
-87.65048372920063,41.880180768372014,"115 S. Sangamon St Chicago, IL 60602",Bartelme Park - Spray Feature,1873,Ward 25,2276,Bartelme Park,Chicago_Park_Facility_4214
-87.59175280172971,41.78250050917303,"6156 S Dorchester Ave Chicago, IL 60637",Beehive Park - Spray Feature,1884,Ward 20,2110,Beehive Park,Chicago_Park_Facility_16714
-87.79611639358234,41.93475064714307,"3020 N Oak Park Ave Chicago, IL 60634",Bell Park - Spray Feature,1892,Ward 36,1976,Bell Park,Chicago_Park_Facility_173
-87.55605976989115,41.733141037999374,"8930 S Muskegon Ave Chicago, IL 60617",Bessemer Park - Pool (Outdoor),1883,Ward 7,1918,Bessemer Park,Chicago_Park_Facility_191
-87.55596208063635,41.732001265882815,"8930 S Muskegon Ave Chicago, IL 60617",Bessemer Park - Spray Feature,1883,Ward 7,1918,Bessemer Park,Chicago_Park_Facility_193
-87.6851309118041,41.70976933360532,"2460 W 102nd St Chicago, IL 60655",Beverly Park - Spray Feature,1885,Ward 19,2058,Beverly Park,Chicago_Park_Facility_208
-87.59275859240562,41.79197402883632,"5641 S Kenwood Ave Chicago, IL 60637",Bixler Park - Spray Feature,1866,Ward 5,2384,Bixler Park,Chicago_Park_Facility_217
-87.75219884916808,41.92285391891591,"2318 N Lavergne Ave Chicago, IL 60639",Blackhawk Park - Pool (Indoor),1892,Ward 36,1977,Blackhawk Park,Chicago_Park_Facility_221
-87.75215221132703,41.92311092959164,"2318 N Lavergne Ave Chicago, IL 60639",Blackhawk Park - Spray Feature,1892,Ward 36,1977,Blackhawk Park,Chicago_Park_Facility_226
-87.67108683234959,41.68449782225446,"1800 W 115th St Chicago, IL 60643",Blackwelder Park - Spray Feature,1859,Ward 34,2143,Blackwelder Park,Chicago_Park_Facility_16698
-87.65322547775816,41.83841988976816,"3044 S Bonfield St Chicago, IL 60608",Bosley Park - Spray Feature,1881,Ward 11,2331,Bosley Park,Chicago_Park_Facility_255
-87.65506704556644,41.72775251373266,"1246 W 92nd St Chicago, IL 60620",Brainerd Park - Spray Feature,1878,Ward 21,2004,Brainerd Park,Chicago_Park_Facility_272
-87.66073246792247,41.96281067566866,"4437 N Magnolia Ave Chicago, IL 60640",Broncho Billy Park - Spray Feature,1860,Ward 46,2227,Broncho Billy Park,Chicago_Park_Facility_295
-87.59961070840042,41.812018410720164,"4542 S Greenwood Ave Chicago, IL 60653",Brooks (Gwendolyn) Park - Spray Feature,1882,Ward 4,2134,Brooks (Gwendolyn) Park,Chicago_Park_Facility_297
-87.81025490158324,42.00945092680252,"7046 N Harlem Ave Chicago, IL 60631",Brooks (Oscar) Park - Spray Feature,1865,Ward 41,1947,Brooks (Oscar) Park,Chicago_Park_Facility_305
-87.60887154985167,41.73991686610233,"644 E 86th St Chicago, IL 60619",Brown Memorial Park - Spray Feature,1902,Ward 6,2088,Brown Memorial Park,Chicago_Park_Facility_312
-87.60620723294548,41.83911375476233,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Beach 1,NA,NA,1931,Burnham Park,Chicago_Park_Facility_324
-87.59532974850458,41.8204067043031,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Beach 2,NA,NA,1931,Burnham Park,Chicago_Park_Facility_325
-87.60643745084104,41.83780083782034,"425 E Mcfetridge Dr Chicago, IL 60616",Burnham Park - Spray Feature,NA,NA,1931,Burnham Park,Chicago_Park_Facility_18934
-87.5976235152241,41.72455623787916,"9400 S Greenwood Ave Chicago, IL 60619",Burnside Park - Spray Feature,1907,Ward 8,2135,Burnside Park,Chicago_Park_Facility_338
-87.65452515232998,41.97196805575619,"4913 N Sheridan Rd Chicago, IL 60640",Buttercup Park - Spray Feature,1872,Ward 48,2150,Buttercup Park,Chicago_Park_Facility_16715
-87.69643220325453,41.95279104620146,"3843 N California Ave Chicago, IL 60618",California Park - Pool (Outdoor),1858,Ward 33,2011,California Park,Chicago_Park_Facility_345
-87.69792184643445,41.95025777303786,"3843 N California Ave Chicago, IL 60618",California Park - Spray Feature,1858,Ward 33,2011,California Park,Chicago_Park_Facility_347
-87.52852703402193,41.71514570266037,"9801 S Avenue G Chicago, IL 60617",Calumet Park - Beach 1,1891,Ward 10,1917,Calumet Park,Chicago_Park_Facility_353
-87.52486664153945,41.71818933667126,"9801 S Avenue G Chicago, IL 60617",Calumet Park - Beach 2,1891,Ward 10,1917,Calumet Park,Chicago_Park_Facility_354
-87.5995904306542,41.65478010013729,"939 E 132nd St Chicago, IL 60627",Carver Park - Pool (Indoor),1870,Ward 9,2059,Carver Park,Chicago_Park_Facility_399
-87.72770450073347,41.81431310766498,"4330 S Kedvale Ave Chicago, IL 60632",Catalpa Park - Spray Feature,1890,Ward 14,2142,Catalpa Park,Chicago_Park_Facility_408
-87.65763813394864,41.97875457988567,"5315 N Winthrop Ave Chicago, IL 60640",Cedar Park - Spray Feature,1872,Ward 48,2495,Cedar Park,Chicago_Park_Facility_410
-87.66901632437047,41.96816072916222,"4725 N Ashland Av Chicago, IL 60640",Chase Park - Pool (Outdoor),1874,Ward 47,1966,Chase Park,Chicago_Park_Facility_418
-87.70530627292077,42.004100016572096,"6758 N Sacramento Ave Chicago, IL 60645",Chippewa Park - Spray Feature,1889,Ward 50,2000,Chippewa Park,Chicago_Park_Facility_431
-87.76228923275931,41.94261327376238,"3420 N Long Ave Chicago, IL 60641",Chopin Park - Spray Feature,1895,Ward 30,1991,Chopin Park,Chicago_Park_Facility_440
-87.64959593374414,41.96320260854152,"4501 N Clarendon Ave Chicago, IL 60640",Clarendon Community Center Park - Spray Feature,1860,Ward 46,2312,Clarendon Community Center Park,Chicago_Park_Facility_459
-87.74160838254562,41.87617870684955,"4615 W Jackson Blvd Chicago, IL 60644",Clark (John) Park - Pool (Outdoor),1896,Ward 28,2333,Clark (John) Park,Chicago_Park_Facility_466
-87.61576531565727,41.73976352872584,"361 E 85th St Chicago, IL 60619",Cole Park - Spray Feature,1902,Ward 6,2073,Cole Park,Chicago_Park_Facility_492
-87.60361581845258,41.796410173501236,"900 E 54th Pl Chicago, IL 60615",Coleman Park - Spray Feature,1866,Ward 5,2091,Coleman Park,Chicago_Park_Facility_494
-87.65723976113829,42.00448794956487,"1040 W Columbia Ave Chicago, IL 60626",Doria Beach Park - Beach,1876,Ward 49,2475,Doria Beach Park,Chicago_Park_Facility_496
-87.76546818399099,41.873657139529925,"500 S Central Ave Chicago, IL 60644",Columbus Park - Pool (Outdoor),1897,Ward 29,2021,Columbus Park,Chicago_Park_Facility_512
-87.76516125436467,41.873255202462694,"500 S Central Ave Chicago, IL 60644",Columbus Park - Spray Feature,1897,Ward 29,2021,Columbus Park,Chicago_Park_Facility_514
