schema:materialExtent,schema:name,schema:address,schema:identifier,schema:addressLocality,schema:name...18
10.3,McGuane Park,"2901 S Poplar Ave Chicago, IL 60608",Chicago_Park_2,1881,Ward 11
9.05,Armour Square Park,"3309 S Shields Ave Chicago, IL 60616",Chicago_Park_3,1881,Ward 11
11.31,Fuller Park,"331 W 45th St Chicago, IL 60609",Chicago_Park_4,1861,Ward 3
8.8,Cornell Square Park,"1809 W 50th St Chicago, IL 60609",Chicago_Park_5,1884,Ward 20
10.05,Russell Square Park,"3045 E 83rd St Chicago, IL 60617",Chicago_Park_6,1891,Ward 10
57.69,Sherman Park,"1307 W 52nd St Chicago, IL 60609",Chicago_Park_7,1884,Ward 20
57.04,Ogden Park,"6500 S Racine Ave Chicago, IL 60636",Chicago_Park_8,1863,Ward 17
28.94,Hamilton Park,"513 W 72nd St Chicago, IL 60621",Chicago_Park_9,1902,Ward 6
315.63,Marquette Park,"6734 S Kedzie Ave Chicago, IL 60629",Chicago_Park_10,1863,Ward 17
181.29,Calumet Park,"9801 S Avenue G Chicago, IL 60617",Chicago_Park_11,1891,Ward 10
20.27,Bessemer Park,"8930 S Muskegon Ave Chicago, IL 60617",Chicago_Park_12,1883,Ward 7
38.44,Palmer Park,"200 E 111th St Chicago, IL 60628",Chicago_Park_13,1870,Ward 9
8.91,Davis (Nathan) Square Park,"4430 S Marshfield Ave Chicago, IL 60609",Chicago_Park_14,1904,Ward 15
18.89,Grand Crossing Park,"7655 S Ingleside Ave Chicago, IL 60619",Chicago_Park_15,1907,Ward 8
18.04,Trumbull Park,"2400 E 105th St Chicago, IL 60617",Chicago_Park_16,1883,Ward 7
18.86,Mann Park,"3035 E 130th St Chicago, IL 60633",Chicago_Park_17,1891,Ward 10
18.7,Tuley Park,"501 E 90th Pl Chicago, IL 60619",Chicago_Park_18,1870,Ward 9
551.52,Jackson (Andrew) Park,"6401 S Stony Island Ave Chicago, IL 60637",Chicago_Park_19,1866,Ward 5
350.49,Washington (George) Park,"5531 S Dr Martin Luther King J Chicago, IL 60637",Chicago_Park_21,NA,NA
26.5,Gage Park,"2415 W 55th St Chicago, IL 60629",Chicago_Park_22,NA,NA
72.09,McKinley Park,"2210 W Pershing Rd Chicago, IL 60609",Chicago_Park_23,1871,Ward 12
295.45,Grant Park,"331 E Randolph St Chicago, IL 60605",Chicago_Park_24,NA,NA
25.2,Foster Park,"1400 W 84th St Chicago, IL 60620",Chicago_Park_26,1878,Ward 21
657.83,Burnham Park,"425 E Mcfetridge Dr Chicago, IL 60616",Chicago_Park_27,NA,NA
27.71,Avalon Park,"1215 E 83rd St Chicago, IL 60619",Chicago_Park_29,1907,Ward 8
