objectid,park_no,park,facility_n,facility_t,gisobjid,Park_Name,Park_Address,ward,schema:name,schema:identifier,Chicago_Park_ID,geometry,omeka_id_community_area,dcterms:isPartOf
9,259,ABBOTT (ROBERT),Playground,OUTDOOR,1436,Abbott Park,"49 E 95th St Chicago, IL 60628",Chicago_Ward_9,Abbott Park - Playground,Chicago_Park_Facility_9,Chicago_Park_259,"c(448316.840947501, 4618981.96009474)",7350,7266
27,45,ADA (SAWYER GARRETT),Playground,OUTDOOR,1454,Ada Park,"11250 S Ada St Chicago, IL 60643",Chicago_Ward_34,Ada Park - Playground,Chicago_Park_Facility_27,Chicago_Park_45,"c(445474.60273157, 4615460.09864917)",7377,7227
35,1019,ADAMS (GEORGE & ADELE),Playground,OUTDOOR,1462,Adams (George & Adele) Park,"1919 N Seminary Ave Chicago, IL 60614",Chicago_Ward_43,Adams (George & Adele) Park - Playground,Chicago_Park_Facility_35,Chicago_Park_1019,"c(445676.175695973, 4640756.11825299)",7371,7239
37,1280,AIELLO (JOHN),Playground Park,OUTDOOR,1464,Aiello Park,"2133 N Mcvicker Ave Chicago, IL 60639",Chicago_Ward_36,Aiello Park - Playground Park,Chicago_Park_Facility_37,Chicago_Park_1280,"c(435622.477075911, 4641091.10007265)",7322,7297
38,1161,ALGONQUIN,Playground Park,OUTDOOR,1465,Algonquin Park,"2941 N Washtenaw Ave Chicago, IL 60618",Chicago_Ward_33,Algonquin Park - Playground Park,Chicago_Park_Facility_38,Chicago_Park_1161,"c(442390.001927947, 4642815.34799964)",7325,7216
46,206,ALTGELD (JOHN),Playground,OUTDOOR,1473,Altgeld Park,"515 S Washtenaw Ave Chicago, IL 60612",Chicago_Ward_28,Altgeld Park - Playground,Chicago_Park_Facility_46,Chicago_Park_206,"c(442468.652428677, 4636096.31301535)",7331,7209
54,129,AMUNDSEN (ROALD),Playground,OUTDOOR,1481,Amundsen Park,"6200 W Bloomingdale Ave Chicago, IL 60639",Chicago_Ward_29,Amundsen Park - Playground,Chicago_Park_Facility_54,Chicago_Park_129,"c(435352.073784084, 4640456.27016472)",7329,7294
60,1020,ANDERSON (LOUIS),Playground,OUTDOOR,1487,Anderson (Louis) Park,"3748 S Prairie Ave Chicago, IL 60653",Chicago_Ward_3,Anderson (Louis) Park - Playground,Chicago_Park_Facility_60,Chicago_Park_1020,"c(448460.082331473, 4630633.96745486)",7304,7235
62,1078,ANDERSONVILLE,Playground Park,OUTDOOR,1489,Andersonville Park,"5233 N Ashland Ave Chicago, IL 60640",Chicago_Ward_40,Andersonville Park - Playground Park,Chicago_Park_Facility_62,Chicago_Park_1078,"c(444551.678677239, 4647455.72168981)",7379,7246
73,250,ARCHER (WILLIAM BEATTY),Playground,OUTDOOR,1500,Archer Park,"4901 S Kilbourn Ave Chicago, IL 60632",Chicago_Ward_14,Archer Park - Playground,Chicago_Park_Facility_73,Chicago_Park_250,"c(439005.912625293, 4628232.01618493)",7359,7282
86,3,ARMOUR (PHILIP) SQUARE,Playground,OUTDOOR,1513,Armour Square Park,"3309 S Shields Ave Chicago, IL 60616",Chicago_Ward_11,Armour Square Park - Playground,Chicago_Park_Facility_86,Chicago_Park_3,"c(447357.977968037, 4631573.67968264)",7338,7212
98,492,ARMSTRONG (LILLIAN HARDIN),Playground,OUTDOOR,1525,Armstrong Park,"4433 S St Lawrence Chicago, IL 60653",Chicago_Ward_3,Armstrong Park - Playground,Chicago_Park_Facility_98,Chicago_Park_492,"c(449358.171317364, 4629279.95156373)",7307,7204
101,459,ASHE (ARTHUR) BEACH,Playground,OUTDOOR,1528,Ashe Beach Park,"2701 E 74th St Chicago, IL 60649",Chicago_Ward_7,Ashe Beach Park - Playground,Chicago_Park_Facility_101,Chicago_Park_459,"c(453631.857741562, 4623565.99544842)",7342,7263
104,427,ASHMORE,Playground Park,OUTDOOR,1531,Ashmore Park,"4807 W Gunnison St Chicago, IL 60630",Chicago_Ward_45,Ashmore Park - Playground Park,Chicago_Park_Facility_104,Chicago_Park_427,"c(438006.374567284, 4646567.71872746)",7315,7254
105,321,ASPEN,Playground Park,OUTDOOR,1532,Aspen Park,"4237 S Wabash Ave Chicago, IL 60653",Chicago_Ward_3,Aspen Park - Playground Park,Chicago_Park_Facility_105,Chicago_Park_321,"c(448158.672547934, 4629660.67635118)",7307,7204
106,343,ASTER,Playground Park,OUTDOOR,1533,Aster Park,"4639 N Kenmore Ave Chicago, IL 60640",Chicago_Ward_46,Aster Park - Playground Park,Chicago_Park_Facility_106,Chicago_Park_343,"c(445655.507973588, 4646277.75940857)",7334,7260
111,80,ATHLETIC FIELD,Playground,OUTDOOR,1538,Athletic Field Park,"3546 W Addison St Chicago, IL 60618",Chicago_Ward_35,Athletic Field Park - Playground,Chicago_Park_Facility_111,Chicago_Park_80,"c(440595.636204927, 4644134.43843433)",7319,7257
114,1021,AUGUSTA (CARPENTER),Playground,OUTDOOR,1541,Augusta Park,"4431 W Augusta Blvd Chicago, IL 60651",Chicago_Ward_37,Augusta Park - Playground,Chicago_Park_Facility_114,Chicago_Park_1021,"c(438814.499190252, 4638776.47952848)",7327,7208
115,1204,AUSTIN (HENRY),Playground,OUTDOOR,1542,Austin Park,"5951 W Lake St Chicago, IL 60644",Chicago_Ward_29,Austin Park - Playground,Chicago_Park_Facility_115,Chicago_Park_1204,"c(435916.265008491, 4637596.64399871)",7329,7298
120,285,AUSTIN FOSTER,Playground,OUTDOOR,1547,Austin Foster Park,"6020 W Foster Ave Chicago, IL 60630",Chicago_Ward_45,Austin Foster Park - Playground,Chicago_Park_Facility_120,Chicago_Park_285,"c(435463.031977995, 4647390.0159248)",7314,7253
125,207,AUSTIN TOWN HALL,Playground,OUTDOOR,1552,Austin Town Hall Park,"5610 W Lake St Chicago, IL 60644",Chicago_Ward_29,Austin Town Hall Park - Playground,Chicago_Park_Facility_125,Chicago_Park_207,"c(436491.531658504, 4637673.69520782)",7329,7298
138,29,AVALON,Playground,OUTDOOR,1565,Avalon Park,"1215 E 83rd St Chicago, IL 60619",Chicago_Ward_8,Avalon Park - Playground,Chicago_Park_Facility_138,Chicago_Park_29,"c(450537.352659516, 4621414.19962557)",7344,7213
152,81,AVONDALE,Playground,OUTDOOR,1579,Avondale Park,"3516 W School St Chicago, IL 60618",Chicago_Ward_35,Avondale Park - Playground,Chicago_Park_Facility_152,Chicago_Park_81,"c(440693.292733574, 4643531.43332169)",7325,7216
156,1063,BACK OF THE YARDS,Playground,OUTDOOR,1583,Back of the Yards Park,"4920 S Throop St Chicago, IL 60609",Chicago_Ward_20,Back of the Yards Park - Playground,Chicago_Park_Facility_156,Chicago_Park_1063,"c(445309.368131828, 4628269.62073113)",7362,7222
159,295,BARAGA (FREDERICK),Playground Park,OUTDOOR,1586,Baraga Park,"2440 S Leavitt St Chicago, IL 60608",Chicago_Ward_25,Baraga Park - Playground Park,Chicago_Park_Facility_159,Chicago_Park_295,"c(443453.490539482, 4633029.54177009)",7336,7280
160,1205,BARNARD (ERASTUS),Playground,OUTDOOR,1587,Barnard Park,"10441 S Longwood Dr Chicago, IL 60643",Chicago_Ward_19,Barnard Park - Playground,Chicago_Park_Facility_160,Chicago_Park_1205,"c(444267.380535176, 4617068.56172754)",7374,7275
162,1022,BARRETT (JOHN),Playground,OUTDOOR,1589,Barrett Park,"2022 W Cermak Rd Chicago, IL 60608",Chicago_Ward_25,Barrett Park - Playground,Chicago_Park_Facility_162,Chicago_Park_1022,"c(443843.789231187, 4633603.57288403)",7336,7280
163,542,BARTELME (MARY),Playground,OUTDOOR,1590,Bartelme Park,"115 S. Sangamon St Chicago, IL 60602",Chicago_Ward_25,Bartelme Park - Playground,Chicago_Park_Facility_163,Chicago_Park_542,"c(446075.851250882, 4636641.80139622)",7332,7244
165,365,BAULER (MATHIAS),Playground,OUTDOOR,1592,Bauler Park,"517 W Wisconsin St Chicago, IL 60614",Chicago_Ward_43,Bauler Park - Playground,Chicago_Park_Facility_165,Chicago_Park_365,"c(446798.202244873, 4640675.68285961)",7371,7296
166,328,BEEHIVE,Playground Park,OUTDOOR,1593,Beehive Park,"6156 S Dorchester Ave Chicago, IL 60637",Chicago_Ward_20,Beehive Park - Playground Park,Chicago_Park_Facility_166,Chicago_Park_328,"c(450831.435934388, 4625803.2453052)",7312,7247
168,1003,BEILFUSS (ALBERT W.),Playground,OUTDOOR,1595,Beilfuss Park,"1725 N Springfield Ave Chicago, IL 60647",Chicago_Ward_26,Beilfuss Park - Playground,Chicago_Park_Facility_168,Chicago_Park_1003,"c(439995.790579249, 4640306.02825747)",7327,7208
172,121,"BELL (GEORGE,JR.)",Playground,OUTDOOR,1599,Bell Park,"3020 N Oak Park Ave Chicago, IL 60634",Chicago_Ward_36,Bell Park - Playground,Chicago_Park_Facility_172,Chicago_Park_121,"c(433975.870505048, 4642878.05468145)",7321,7295
179,1255,BERGER (ALBERT),Playground,OUTDOOR,1606,Berger Park,"6227 N Sheridan Rd Chicago, IL 60660",Chicago_Ward_48,Berger Park - Playground,Chicago_Park_Facility_179,Chicago_Park_1255,"c(445754.515454211, 4649486.26876755)",7379,7237
192,12,BESSEMER (HENRY),Playground,OUTDOOR,1619,Bessemer Park,"8930 S Muskegon Ave Chicago, IL 60617",Chicago_Ward_7,Bessemer Park - Playground,Chicago_Park_Facility_192,Chicago_Park_12,"c(453747.479607173, 4620210.15735938)",7345,7265
206,254,BEVERLY,Playground,OUTDOOR,1633,Beverly Park,"2460 W 102nd St Chicago, IL 60655",Chicago_Ward_19,Beverly Park - Playground,Chicago_Park_Facility_206,Chicago_Park_254,"c(443010.079047649, 4617761.0962162)",7374,7275
215,322,BIRCH,Playground Park,OUTDOOR,1642,Birch Park,"427 E 45th St Chicago, IL 60653",Chicago_Ward_3,Birch Park - Playground Park,Chicago_Park_Facility_215,Chicago_Park_322,"c(448897.563477579, 4629178.62059206)",7307,7204
216,1083,BIXLER (RAY),Playground Park,OUTDOOR,1643,Bixler Park,"5641 S Kenwood Ave Chicago, IL 60637",Chicago_Ward_5,Bixler Park - Playground Park,Chicago_Park_Facility_216,Chicago_Park_1083,"c(450736.272226867, 4626842.78780084)",7311,7278
