schema:givenName,schema:telephone,schema:email,schema:url,schema:name,schema:identifier,schema:address
VACANCIES,,,,Ward 11,Chicago_Ward_11,NA
"Austin, Carrie M.",(773) 928-6961,Ward34@cityofchicago.org,http://www.34thward.org,Ward 34,Chicago_Ward_34,"507 West 111th Street Chicago, IL 60628"
"Beale, Anthony",(773) 785-1100,Ward09@cityofchicago.org,http://www.Ward09.com,Ward 9,Chicago_Ward_9,"34 East 112th Place Chicago, IL 60628"
"Brookins, Jr., Howard",(773) 881-9300,Ward21@cityofchicago.org,http://www.21Chicago.com,Ward 21,Chicago_Ward_21,"9011 South Ashland Avenue, Unit B Chicago, IL 60620"
"Burke, Edward M.",(773) 471-1414,Ward14@cityofchicago.org,,Ward 14,Chicago_Ward_14,"2650 West 51st Street Chicago, IL 60632"
"Burnett, Jr., Walter",(312) 432-1995,Ward27@cityofchicago.org,http://aldermanburnett.com/,Ward 27,Chicago_Ward_27,"4 North Western Avenue Chicago, IL 60612"
"Cappleman, James",(773) 878-4646,Ward46@cityofchicago.org,http://www.James46.org/,Ward 46,Chicago_Ward_46,"4544 North Broadway Chicago, IL 60640"
"Cardenas, George A.",(773) 523-8250,Ward12@cityofchicago.org,http://www.12thwardchicago.com/,Ward 12,Chicago_Ward_12,"3476 South Archer Avenue Chicago, IL 60608"
"Cardona, Jr., Felix",(773) 824-2000,Ward31@cityofchicago.org,https://www.felix31.org,Ward 31,Chicago_Ward_31,"4606 West Diversey Avenue Chicago, IL 60639"
"Coleman, Stephanie D.",(773) 306-1981,Ward16@cityofchicago.org,https://www.16thward.org,Ward 16,Chicago_Ward_16,"5411 South Ashland Avenue Chicago, IL 60609"
"Curtis, Derrick G.",(773) 284-5057,Ward18@cityofchicago.org,,Ward 18,Chicago_Ward_18,"8359 South Pulaski Road Chicago, IL 60652"
"Dowell, Pat",(773) 373-9273,Ward03@cityofchicago.org,http://www.ward03chicago.com,Ward 3,Chicago_Ward_3,"5046 South State Street Chicago, IL 60609"
"Ervin, Jason C.",(773) 533-0900,Ward28@cityofchicago.org,http://www.AldermanErvin.com/,Ward 28,Chicago_Ward_28,"2622 West Jackson Boulevard, Suite 200A Chicago, IL 60612"
"Gardiner, James M.",(773) 853-0799,ward45@cityofchicago.org,http://www.aldermangardiner.com,Ward 45,Chicago_Ward_45,"5425 West Lawrence Avenue Chicago, IL 60630"
"Hadden, Maria E.",(773) 338-5796,Office@49thward.org,http://www.49thward.org,Ward 49,Chicago_Ward_49,"1447 West Morse Avenue Chicago, IL 60626"
"Hairston, Leslie A.",(773) 324-5555,Ward05@cityofchicago.org,http://leslieahairston.com/,Ward 5,Chicago_Ward_5,"2325 East 71st Street Chicago, IL 60649"
"Harris, Michelle A.",(773) 874-3300,Ward08@cityofchicago.org,http://www.Aldermanmichelleharris.net,Ward 8,Chicago_Ward_8,"8539 South Cottage Grove Avenue Chicago, IL 60619"
"Hopkins, Brian",(312) 643-2299,Ward02@cityofchicago.org,https://www.aldermanhopkins.com/,Ward 2,Chicago_Ward_2,"1400 North Ashland Avenue Chicago, IL 60622"
"King, Sophia D.",(773) 536-8103,Ward04@cityofchicago.org,http://www.aldsophiaking.com,Ward 4,Chicago_Ward_4,"435 East 35th Street Chicago, IL 60616"
"La Spata, Daniel",(872) 206-2685,info@the1stward.com,https://www.the1stward.com/,Ward 1,Chicago_Ward_1,"1958 North Milwaukee Avenue Chicago, IL 60647"
